Name,Rating,Review,Specification
lenovo LEGION 5 15ARP8 AMD® Ryzen™ 7 7735HS/16GB RAM/1TB SSD/15.6″ WQHD IPS 165Hz/NVIDIA® GeForce RTX™ 4060 8GB/Windows 11 Home Previous product Next product,0,0,Brand No Brand SKU 129875864_NP-1037734551 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 1TB Processor Ryzen 7 Generation Not Specified
Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,5.0,5 ratings,
"Acer Aspire 5 i5 13th Generation - 8GB DDR5 RAM - 512GB NVMe SSD - Intel iris Xe Graphics - 14"" FHD IPS Display - Steel Grey",4.8,6 ratings,Brand No Brand SKU 128212224_NP-1035333820 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th Warranty Policy EN Warranty against manufacturing defects.
"Acer Aspire 5 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display",5.0,2 ratings,Brand No Brand SKU 128487184_NP-1037182475 Display Size 15.6 Inch Operating System Windows 10 CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i3 Generation 11th
AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000,4.8,4 ratings,Brand Avita SKU 108930357_NP-1029438113 Display Size Not Specified Operating System Windows CPU Cores Dual Core Ram Memory 4GB Storage Capacity 64GB Processor Celeron Generation Not Specified
Dell Celeron 5470 Intel UHD 8/256GB SSD,5.0,1 ratings,Brand No Brand SKU 129342925_NP-1037366468 Display Size 14 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Celeron Generation 11th Warranty Policy EN Except physical Damage
"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop",4.0,6 ratings,
"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop",5.0,2 ratings,Brand No Brand SKU 128509518_NP-1036030849 Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i3 Generation 12th
"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz",4.3,3 ratings,
"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",5.0,3 ratings,Brand No Brand SKU 128524301_NP-1036048549 Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 12th
"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen",3.7,3 ratings,Brand No Brand SKU 123538890_NP-1037331736 Display Size 14 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 6th
"Dell Laptop Vostro 3520 | Intel Core i7 12th Gen | 16GB RAM | 512GB SSD | MX550 2GB | 15.6"" FHD 120Hz",4.3,3 ratings,Brand No Brand SKU 127488841_NP-1034542841 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i7 Generation 12th Warranty Policy EN No Physical Damage
"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11",5.0,2 ratings,Brand No Brand SKU 129371256_NP-1037373549 Display Size 14 Inch Operating System Windows CPU Cores Deca Core Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i5 Generation 12th Warranty Policy EN Except physical warranty
"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11",4.5,2 ratings,
"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz",4.5,2 ratings,Brand No Brand SKU 128490198_NP-1035977920 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System Windows RAM Memory 16GB Model No. Nitro 5 Touch Pad Yes Graphic Card NVIDIA GeForce RTX storage_capacity_new 512GB Processor Intel Core i5 Storage Type SSD Touch No Graphics memory 6GB Generation 12th
"HP Victus 15 Ryzen 5 7535HS /16 GB DDR5 RAM/ 512 GB NVME SSD/15.6"" 144Hrz Display / 4GB RTX 2050 DDR6 Graphics/Backlit Keyboard/ Win 11",3.5,2 ratings,
Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,4.3,3 ratings,Brand No Brand SKU 128496077_NP-1037571755 Display Size 13.3 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 8th Warranty Policy EN Service warranty
"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",4.0,1 ratings,Brand No Brand SKU 128524305_NP-1036053292 Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 12th
"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver",4.0,1 ratings,
"Asus ZenBook 14 Q407IQ Laptop / Ryzen 5 4500U / MX350 / 8GB RAM / 256GB SSD / 14"" FHD display",4.7,3 ratings,Brand No Brand SKU 125215411_NP-1033995702 Ram Memory 8GB Operating System Windows 10 Generation Not Specified CPU Cores Hexa Core Storage Capacity 256GB Display Size 14 Inch Processor Ryzen 5
"Dell Inspiron 3511 i3 1115G4/8gb RAM/256gb SSD/15.6"" FHD/Windows 11 Home/11th Gen Laptop",5.0,1 ratings,
"Dell Vostro 15 3520 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6"" FHD Display)",5.0,1 ratings,Brand No Brand SKU 129990928_NP-1037879291 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 12th
Lenovo Ideapad 1 | Intel Celeron N4020 | 4GB DDR4 RAM | 128GB Nvme Storage | 14″ HD Display | Genuine Windows 11,0,0,Brand No Brand SKU 130132236_NP-1038013481 Display Size 14 Inch Operating System Windows CPU Cores Dual Core Ram Memory 4GB Storage Capacity 128GB Processor Intel Celeron Generation 12th
"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK",5.0,3 ratings,Brand No Brand SKU 125304194_NP-1034012371 Display Size 14 Inch Operating System No OS CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Celeron Generation Not Specified
"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10",5.0,3 ratings,Brand No Brand SKU 110946950_NP-1030070955 Ram Memory 8GB Operating System Windows Generation 11th CPU Cores Octa Core Storage Capacity 512GB Display Size 14 Inch Processor Ryzen 7
"CHUWI GemiBook X Laptop丨15.6"" IPS Display Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz丨8G DDR4丨256GB SSD Windows 11 + Free Gift",4.5,2 ratings,
Dell Inspiron 15 3520 - i3 1215U | 8GB | 512GB SSD | Intel UHD | FHD | UBT | 2 Years Warranty,4.0,2 ratings,
ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11,4.0,1 ratings,
"Dell Vostro 3520 Core i5 12th Gen/ 12GB RAM/512 GB SSD/15.6"" FHD/Win 11",1.0,1 ratings,
"Dell G5 15 5511 / i5-11400H / 8GB / 256 SSD / NVIDIA RTX 3050-4GB GDDR6 / 15.6"" FHD",5.0,1 ratings,
Acer Aspire 5 i5 13th Gen 1335U – 16GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD IPS Display – Iris Xe Graphics – Steel Grey,5.0,1 ratings,Brand No Brand SKU 128124111_NP-1035200762 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th Warranty Policy EN Warranty against manufacturing defects.
"ASUS Vivobook Go E1404GA - (Intel i3 13th Gen N305, 14"" FHD Display, 8GB RAM, 256GB SSD, Fingerprint, Bagpack, Mouse Win11, 2 Yrs Int'l Warranty)",5.0,1 ratings,Brand ASUS SKU 128604258_NP-1036226068 Display Size 14 Inch Operating System Windows CPU Cores Octa Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i3 Generation 13th
Acer Travelmate P2 i5 12th Gen 1235U – 8GB DDR4 RAM – 512GB SSD – 14″ FHD Display – Intel UHD Graphics - Backlit Keyboard,5.0,2 ratings,
"Asus ZenBook 14x Oled | 13th Gen Intel Evo Core i5 | 8GB RAM 512GB SSD | 14.5"" OLED 2.8K Touchscreen | Backlit | Grey | Win 11",3.5,2 ratings,Brand No Brand SKU 128194302_NP-1035326925 Display Size 14 Inch Operating System Windows CPU Cores Dodeca Core Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th Warranty Policy EN HOLOGRAM SHOULD NOT BE TEMPERED TO AVAIL WARRANTY. NO PHYSICAL WARRANTY. 6 MONTHS BATTERY AND CHARGER WARRANTY.
"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display",3.0,2 ratings,Brand No Brand SKU 128155035_NP-1035244616 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i3 Generation 13th
"Asus Zenbook Q410VA i5 13th Gen 13500H EVO 8GB RAM 512GB ssd 14.5"" OLED Touch Laptop",5.0,2 ratings,
"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display",5.0,1 ratings,Brand No Brand SKU 128486228_NP-1035975940 Display Size 15.6 Inch RAM Memory 16GB storage_capacity_new 1TB Processor Intel Core i7 Operating System Windows Generation 11th
"Acer Predator Helios Neo 16 13th Gen Intel Core i7/ NVIDIA GeForce RTX 4050 6GB/ 16GB DDR5 RAM 1TB SSD/ 16"" WUXGA IPS 165Hz DDS/ RGB Keyboard/ Black",5.0,1 ratings,
HP Pavilion Aero 13 With Ryzen 5 5500U Processor 13.3 Inch WQXA Display 16GB RAM 1 TB ROM,5.0,2 ratings,Brand No Brand SKU 128233005_NP-1035371146 Ram Memory 16GB Operating System Windows Generation Not Specified CPU Cores Not Specified Storage Capacity Touch
Lenovo Legion Slim 5 2023 AMD Ryzen™ 5 7640HS/ RTX 4060 8 GB / 16 GB DDR5 RAM /1TB Gen 4 SSD / 16” WQXGA Display / 165Hz Refresh Rate,5.0,1 ratings,Brand No Brand SKU 128927845_NP-1036883619 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 1TB Processor Intel Core i7 Generation 13th
Asus GA401Q Zephyrus-Ryzen 7 5800HS-15.6 fhd 144hz RTX3060 6GB,5.0,1 ratings,Brand No Brand SKU 113638263_NP-1030907245 Display Size 14 AC Adapter Yes Operating System Windows 10 Graphics memory 62917 Processor AMD
"CHUWI HeroBook Plus 15.6"" Windows 10 Laptop 丨8GB LPDDR4丨256GB SSD丨IPS Display Windows 10 Home, Plastic Thin Body, Light and Portable + Free Gift",1.0,1 ratings,Brand CHUWI SKU 105735203_NP-1027555598 Generation 10th CPU Cores Quad Core Processor Intel Celeron Warranty Policy EN Manufacturing defects only Ram Memory 8GB Operating System Windows 10 Storage Capacity 256GB Display Size 15.6 Inch
Asus Vivobook 14 X1404VA-EB149W i5- 1335U | 8GB | 512SSD | Intel® UHD Graphics | FHD,5.0,1 ratings,
"Asus Vivobook Flip Tp3402, i7, 12700h, 8Gb, 512Gb SSD, Touch 360 Display, Windows 11, Backlit Keyboard, Magic Numpad | Nagmani International",5.0,1 ratings,Brand ASUS SKU 120753313_NP-1032924609 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Storage Capacity 512GB Processor Intel Generation 12th Warranty Policy EN 2 years International Warranty in laptop and 1 year warranty in adapter and battery
Dell Inspiron 15 3530 - i5 1335U | 8GB | 512SSD | Intel UHD | FHD | 2 Years Warranty,5.0,1 ratings,
"Asus vivobook pro 16x m7600qe - oled 5th gen/ r9 5900hx/16 gb ram/1 tb nvme ssd/16"" 4k (3840 x 2160) 90 hz , dialpad oled display/ nvidia rtx 3050ti 4 gb graphics/ backlit kb/backpack/mouse/genuine windows 11/2 year international warranty",5.0,1 ratings,
"Lenovo ThinkPad P14S Core i7 11th Gen/ 16GB RAM/512 GB SSD/Nvidia Quadro 4GB Graphics/14"" IPS FHD/Backlit Keyboard /Fingerprint / Win 11 Pro (Workstation)",0,0,Brand No Brand SKU 128896919_NP-1036848221 Display Size 14 Inch Operating System Windows CPU Cores Quad Core Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i7 Generation 11th
HP Envy x360 2in1 Intel Core i5 13th Gen – 8GB DDR4 RAM – 512GB NVMe SSD – 14″ FHD TouchScreen Display – Windows 11 – BackLit Keyboard – FingerPrint Reader,4.0,1 ratings,
"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare T&L Laptop/Win 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray",5.0,1 ratings,
"HP Pavilion 14 X360 Intel Core i5 12th Generation 8GB Ram 512GB SSD 14.0"" Touch 360",5.0,1 ratings,Brand No Brand SKU 128475725_NP-1035969487 Display Size 14 Inch Operating System Windows CPU Cores Deca Core Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 12th
"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display",4.0,1 ratings,Brand No Brand SKU 128162455_NP-1035265747 Storage Capacity 256GB Ram Memory 4GB Display Size 15.6 Inch Operating System Windows Generation Not Specified Processor Intel Celeron CPU Cores Dual Core
"Lenovo IdeaPad Flex 5 14ARE05 2-in-1 / Ryzen 3 4300U / 4GB RAM / 128GB SSD / 14"" FHD 360 TouchScreen Display",5.0,1 ratings,Brand No Brand SKU 107605596_NP-1028925349 Ram Memory 4GB Graphic Card AMD Radeon Operating System Windows 10 Generation Not Specified CPU Cores Quad Core Storage Capacity 128GB Touch Pad Not Specified Display Size 14 Inch Graphics memory Not Specified Processor AMD
"Acer Aspire 5/Core i3 11th Gen/4GB RAM/128GB SSD/1TB HDD/15.6""FHD/WIN10 Genuine",5.0,1 ratings,
Lenovo IdeaPad Slim 3 13th Gen 13420H Intel Core i5 – 8GB DDR5 RAM – 512GB NVMe SSD – Intel Iris Xe Graphics – 15.6″ FHD TN Display – Arctic Grey,5.0,1 ratings,Brand No Brand SKU 128471375_NP-1035960584 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th Warranty Policy EN Warranty against manufacturing defects.
Hp 255 G8 Ryzen 7 5700u 15.6 fullhd 512 ssd 8 gb ram silver color,4.0,1 ratings,Brand No Brand SKU 117242506_NP-1032120057 Storage Capacity 512GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows 10 Processor Ryzen 7 CPU Cores Hexa Core
"Dell Inspiron 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",5.0,1 ratings,Brand No Brand SKU 129084126_NP-1037085408 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 8GB Model No. Inspiron 15 3520 Touch Pad Yes Storage Capacity 512GB Processor Intel Core i5 Storage Type SSD Touch No Generation 12th
Dell Latitude 5480 Intel Core I5 6th Gen 2.4 GHz Processor 8 GB RAM 256 GB SSD 14 Inch Touch Screen,5.0,1 ratings,Brand No Brand SKU 125197363_NP-1037333940 Display Size 14 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 6th
Acer Aspire 3 AL14-31P Ultraslimbook i3-N305-8GB RAM-512GB SS-14FHD-Sliver Color,5.0,1 ratings,Brand No Brand SKU 129691037_NP-1037561198 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i3 Generation Not Specified
Dell Inspiron 3501 i3 10th Gen 4GB RAM 256GB SSD 15.’’6 FHD,5.0,1 ratings,Brand No Brand SKU 119084075_NP-1032604837 Storage Capacity 256GB Ram Memory 4GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i3 CPU Cores Dual Core
Dell Vostro i5-11th Gen 8/512,4.0,1 ratings,Brand No Brand SKU 128194710_NP-1035310553 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 11th
Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook,4.0,1 ratings,Brand No Brand SKU 129075425_NP-1037338431 Display Size 13.3 Inch Operating System Windows CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 8th
"GateWay GWTN156 Ryzen 7 3700U I 8GB RAM I 512GB SSD I 15.6"" FHD IPS I Ultra Slim Laptop",4.0,1 ratings,Brand No Brand SKU 120125897_NP-1032819495 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 5 Generation Not Specified Warranty Policy EN Warranty against manufacturing defects.
"Lenovo IP 3 Slim 3 Core i3 13th Gen/8 GB DDR5 RAM/256 GB SSD/15.6"" FHD/ Win 11",3.0,1 ratings,
Acer Aspire 5 i7 13th Gen 1355U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey,2.0,1 ratings,
"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11",0,0,
HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display,5.0,1 ratings,Brand No Brand SKU 128298982_NP-1035571225 Display Size 14 Inch Operating System Windows CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th
"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11",5.0,1 ratings,
HP 14 Fq0051Nr With Athlon Tmsor Processor 14.0 HD Display 8GB RAM 256GB ROM,4.0,1 ratings,Brand No Brand SKU 128222954_NP-1035370227 Ram Memory 8GB Operating System Windows Generation Not Specified CPU Cores Not Specified Storage Capacity 256GB Touch No Display Size 14 Inch Processor Not Specified Model No. HP 14
"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop",5.0,1 ratings,
Dell Vostro 3510 /15.6″ FHD /Intel Core I5 1135G7 /8 GB RAM /256 GB SSD/1TB HDD,5.0,1 ratings,Brand No Brand SKU 126638831_NP-1034302934 Display Size 15.6 Inch Operating System Windows CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 1TB Processor Intel Core i5 Generation 11th
"HP Envy x360 14 i7 13th Gen \ 16GB RAM \ 1TB SSD \ 14"" FHD 360 Touch Screen Display",5.0,1 ratings,
"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD",5.0,1 ratings,Brand No Brand SKU 128041232_NP-1035103047 Storage Capacity 512GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Processor Intel Core i5 Generation 13th CPU Cores Deca Core
Acer Aspire 3 AMD Ryzen 5 7520u 8GB RAM 512GB SSD 15.6″ FHD Laptop,5.0,1 ratings,Brand No Brand SKU 125918177_NP-1034225798 Display Size 15.6 Inch Operating System DOS CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor AMD Generation Not Specified Warranty Policy EN As per the terms and conditions mentioned on the warranty card.
Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD,5.0,1 ratings,Brand No Brand SKU 127232634_NP-1034496587 Storage Capacity 256GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Quad Core
"Dell Vostro 3510 / i5-1135G7 11th Gen / 8GB RAM / 512GB SSD / Intel UHD Graphic 15.6"" FHD",5.0,1 ratings,Brand No Brand SKU 119078861_NP-1032593979 Storage Capacity 512GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Dual Core
"Lenovo Ideapad 3 AMD Ryzen 5 5500U processor, 8GB RAM, 256 GB SSD, 14 FULL HD, Windows 10",3.0,1 ratings,Brand No Brand SKU 121487444_NP-1033061486 Ram Memory 8GB Operating System Windows 10 Generation Not Specified CPU Cores Quad Core Storage Capacity 256GB Display Size 14 Inch Processor AMD
Lenovo Flex 5 i7 11th gen 16gb ram 512 ssd 15.6 full hd ips x360 Touch,3.0,1 ratings,Brand No Brand SKU 114235854_NP-1031036128 Storage Capacity 512GB Ram Memory 16GB Display Size 15.6 Inch Operating System Windows Processor Intel Core i7 Generation 11th CPU Cores Octa Core
Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD,4.0,1 ratings,Brand No Brand SKU 119077998_NP-1032602780 Storage Capacity 250GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Dual Core
Dell Vostro 3510 i5 11th Gen 8GB 512ssd 15.6FHD Screen Backlit Keyboard Laptop,4.0,1 ratings,
